SVM - STFT - fl: 1024 - hl: 128 - nm: 128 - ord: 3 - mi: 100:

Class oboe :: accuracy: 1.0 | precision: 1.0 | recall: 0.99 | fscore: 0.99
Class violin :: accuracy: 0.99 | precision: 0.93 | recall: 1.0 | fscore: 0.96
Class cor anglais :: accuracy: 1.0 | precision: 1.0 | recall: 0.97 | fscore: 0.98
Class bass clarinet :: accuracy: 1.0 | precision: 1.0 | recall: 1.0 | fscore: 1.0
Class trombone :: accuracy: 0.99 | precision: 0.97 | recall: 0.96 | fscore: 0.97
Class viola :: accuracy: 1.0 | precision: 0.99 | recall: 0.97 | fscore: 0.98
Class saxophone :: accuracy: 1.0 | precision: 1.0 | recall: 0.99 | fscore: 0.99
Class contrabassoon :: accuracy: 1.0 | precision: 0.99 | recall: 0.97 | fscore: 0.98
Class french horn :: accuracy: 1.0 | precision: 0.97 | recall: 0.97 | fscore: 0.97
Class cello :: accuracy: 1.0 | precision: 0.99 | recall: 1.0 | fscore: 0.99
Class tuba :: accuracy: 1.0 | precision: 1.0 | recall: 0.99 | fscore: 0.99
Class double bass :: accuracy: 1.0 | precision: 0.96 | recall: 0.99 | fscore: 0.97

Total Model :: accuracy: 1.0 | precision: 0.98 | recall: 0.98 | fscore: 0.98
